year,Pos,Player,photo,Runs,Mat,Inns,NO,HS,Avg,BF,SR,Century,Fifty,Four,Sixes,Team,Team_logo,Outs
2008,76,Aakash Chopra,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,42,5,5,0,24,8.4,52,80.76,0,0,5,0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,5
2009,97,Aakash Chopra,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,11,2,1,0,11,11,19,57.89,0,0,2,0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,1
2010,101,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,21,1,1,0,21,21,21,100,0,0,0,1,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,1
2011,82,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,47,6,6,0,25,7.83,46,102.17,0,0,3,3,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,6.002554278
2012,83,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,55,2,2,0,30,27.5,51,107.84,0,0,8,0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,2
2013,11,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,456,14,14,0,67,32.57,336,135.71,0,4,54,16,PWI,https://upload.wikimedia.org/wikipedia/en/4/4a/Pune_Warriors_India_IPL_Logo.png,14.00061406
2014,26,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,309,13,13,2,88,28.09,263,117.49,0,2,31,9,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,11.000356
2015,83,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,23,3,3,1,10,11.5,33,69.69,0,0,4,0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,2
2016,13,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,393,13,12,2,74,39.3,299,131.43,0,5,45,11,GL,https://static.india.com/wp-content/uploads/2017/02/gl.jpg,10
2017,24,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,299,13,13,1,72,24.91,180,166.11,0,2,25,19,GL,https://static.india.com/wp-content/uploads/2017/02/gl.jpg,12.00321156
2018,44,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,134,10,9,1,46,16.75,100,134,0,0,6,8,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,8
2020,31,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,268,12,12,0,52,22.33,241,111.2,0,1,28,8,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,12.00179131
2022,76,Aaron Finch,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png,86,5,5,0,58,17.2,61,140.98,0,1,10,3,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,5
2008,63,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,95,6,6,1,26,19,98,96.93,0,0,5,1,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,5
2010,53,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,111,7,7,0,45,15.85,119,93.27,0,0,7,0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,7.003154574
2011,26,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,312,16,13,4,65,34.66,243,128.39,0,2,21,14,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,9.001731102
2012,25,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,319,16,13,5,64,39.87,198,161.11,0,3,26,15,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,8.001003261
2013,18,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,360,14,14,4,64,36,219,164.38,0,2,34,15,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,10
2014,11,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,395,14,13,2,89,35.9,249,158.63,0,3,26,24,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,11.00278552
2015,4,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,513,16,14,3,133,46.63,293,175.08,1,2,60,22,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,11.00150118
2016,3,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,687,16,16,3,129,52.84,407,168.79,1,6,57,37,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,13.001514
2017,42,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,216,9,9,1,89,27,163,132.51,0,1,12,16,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,8
2018,12,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,480,12,11,2,90,53.33,275,174.54,0,6,39,30,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,9.000562535
2019,11,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,442,13,13,3,82,44.2,287,154,0,5,31,26,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,10
2020,10,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,454,15,14,4,73,45.4,286,158.74,0,5,33,23,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,10
2021,19,AB de Villiers,https://sportzwiki.com/wp-content/uploads/2021/03/AB-de-Villiers-1.jpg,313,15,14,4,76,31.3,211,148.34,0,2,23,16,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,10
2023,158,Abdul Basith,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Basith.png,1,1,1,1,1,1,1,100,0,0,0,0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,1
2020,53,Abdul Samad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Samad.png,111,12,8,3,33,22.2,65,170.76,0,0,8,6,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,5
2021,54,Abdul Samad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Samad.png,111,11,10,1,28,12.33,87,127.58,0,0,4,8,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,9.00243309
2022,148,Abdul Samad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Samad.png,4,2,2,0,4,2,7,57.14,0,0,0,0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,2
2023,55,Abdul Samad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Samad.png,169,9,8,4,37,42.25,128,132.03,0,0,10,11,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,4
2024,58,Abdul Samad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Samad.png,182,16,12,2,37,18.2,108,168.51,0,0,15,11,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,10
2025,61,Abdul Samad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Samad.png,164,13,12,4,45,20.5,93,176.34,0,0,8,14,LSG,https://www.hindustantimes.com/ht-img/img/2026/02/26/cropped/16-9/1000217347_1772086834074_1772086846178.jpg,8
2026,60,Abdul Samad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdul%20Samad.png,72,5,5,0,36,14.4,65,110.76,0,0,7,1,LSG,https://www.hindustantimes.com/ht-img/img/2026/02/26/cropped/16-9/1000217347_1772086834074_1772086846178.jpg,5
2008,147,Abdur Razzak,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,1,1,1,0,1,2,0,0,0,0,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,0
2022,149,Abhijeet Tomar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhijeet%20Tomar.png,4,1,1,0,4,4,8,50,0,0,1,0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg,1
2010,129,Abhimanyu Mithun,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,5,1,1,0,5,5,4,125,0,0,1,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,1
2011,99,Abhimanyu Mithun,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,27,12,6,3,11,9,20,135,0,0,3,1,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,3
2013,154,Abhimanyu Mithun,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,2,1,1,0,2,2,2,100,0,0,0,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,1
2022,70,Abhinav Manohar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhinav%20Manohar.png,108,8,7,1,43,18,75,144,0,0,14,3,GT,https://imgk.timesnownews.com/media/Gujarat_Titans_logo.png,6
2023,68,Abhinav Manohar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhinav%20Manohar.png,114,9,6,0,42,19,83,137.34,0,0,6,7,GT,https://imgk.timesnownews.com/media/Gujarat_Titans_logo.png,6
2024,135,Abhinav Manohar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhinav%20Manohar.png,9,2,2,0,8,4.5,16,56.25,0,0,1,0,GT,https://imgk.timesnownews.com/media/Gujarat_Titans_logo.png,2
2025,89,Abhinav Manohar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhinav%20Manohar.png,61,8,5,0,43,12.2,61,100,0,0,2,4,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,5
2008,148,Abhinav Mukund,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,2,1,0,0,1,1,0,0,0,0,0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg,0
2013,110,Abhinav Mukund,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,19,1,1,0,19,19,21,90.47,0,0,1,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,1
2010,42,Abhishek Jhunjhunwala,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,183,13,11,2,53,20.33,166,110.24,0,1,16,4,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,9.001475652
2011,130,Abhishek Jhunjhunwala,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,10,3,2,0,10,5,18,55.55,0,0,2,0,PWI,https://upload.wikimedia.org/wikipedia/en/4/4a/Pune_Warriors_India_IPL_Logo.png,2
2012,103,Abhishek Jhunjhunwala,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,24,5,3,1,19,12,26,92.3,0,0,1,1,DEC,https://media.crictracker.com/media/attachments/1677234053985_Deccan-Chargers-logo.jpeg,2
2008,25,Abhishek Nayar,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,206,14,10,2,45,25.75,138,149.27,0,0,16,9,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,8
2009,27,Abhishek Nayar,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,193,13,11,2,35,21.44,152,126.97,0,0,14,7,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,9.001865672
2010,68,Abhishek Nayar,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,58,3,3,1,27,29,51,113.72,0,0,4,2,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,2
2011,73,Abhishek Nayar,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,61,10,9,2,17,8.71,67,91.04,0,0,9,0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,7.003444317
2012,88,Abhishek Nayar,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,45,4,4,1,24,15,49,91.83,0,0,2,1,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,3
2013,79,Abhishek Nayar,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,66,11,9,3,25,11,73,90.41,0,0,5,0,PWI,https://upload.wikimedia.org/wikipedia/en/4/4a/Pune_Warriors_India_IPL_Logo.png,6
2014,72,Abhishek Nayar,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,43,5,4,1,23,14.33,47,91.48,0,0,5,1,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,3.000697837
2009,53,Abhishek Raut,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,78,9,7,3,36,19.5,61,127.86,0,0,5,3,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,4
2010,69,Abhishek Raut,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,56,6,5,3,32,28,48,116.66,0,0,3,3,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,2
2011,74,Abhishek Raut,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,60,7,4,1,25,20,58,103.44,0,0,5,1,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,3
2018,66,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,63,3,3,2,46,63,33,190.9,0,0,3,5,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,1
2019,99,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,9,3,3,1,5,4.5,9,100,0,0,1,0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,2
2020,63,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,71,8,7,2,31,14.2,56,126.78,0,0,6,3,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,5
2021,55,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,98,8,7,1,33,16.33,75,130.66,0,0,7,4,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,6.00122474
2022,13,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,426,14,14,0,75,30.43,320,133.12,0,2,47,13,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,13.99934275
2023,48,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,226,11,11,0,67,20.55,157,143.94,0,2,28,6,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,10.99756691
2024,10,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,484,16,16,1,75,32.27,237,204.21,0,3,36,42,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,14.99845057
2025,15,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,439,14,13,0,141,33.77,227,193.39,1,2,46,28,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,12.99970388
2026,1,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png,380,8,8,1,135,54.29,179,212.29,1,3,36,28,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,6.999447412
2023,100,Abishek Porel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abishek%20Porel.png,33,4,4,0,20,8.25,31,106.45,0,0,1,2,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,4
2024,30,Abishek Porel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abishek%20Porel.png,327,14,12,2,65,32.7,205,159.51,0,2,36,13,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,10
2025,30,Abishek Porel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abishek%20Porel.png,301,13,13,1,51,25.08,205,146.82,0,1,28,12,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg,12.0015949
2014,106,Abu Nechim,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,4,4,1,1,4,1,1,400,0,0,1,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,4
2015,100,Abu Nechim,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,10,3,3,2,5,10,5,200,0,0,2,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,1
2008,6,Adam Gilchrist,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,436,14,14,1,109,33.53,318,137.1,1,3,51,19,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,13.00328064
2009,2,Adam Gilchrist,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,495,16,16,0,85,30.93,325,152.3,0,3,54,29,DEC,https://media.crictracker.com/media/attachments/1677234053985_Deccan-Chargers-logo.jpeg,16.00387973
2010,21,Adam Gilchrist,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,289,16,16,0,54,18.06,185,156.21,0,1,31,16,DEC,https://media.crictracker.com/media/attachments/1677234053985_Deccan-Chargers-logo.jpeg,16.00221484
2011,15,Adam Gilchrist,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,383,14,14,0,106,27.35,295,129.83,1,2,41,18,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,14.00365631
2012,53,Adam Gilchrist,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,172,7,7,2,64,34.4,143,120.27,0,1,21,4,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,5
2013,27,Adam Gilchrist,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,294,13,13,1,85,24.5,229,128.38,0,1,41,6,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png,12
2017,115,Adam Milne,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adam%20Milne.png,7,4,3,1,5,3.5,12,58.33,0,0,0,0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg,2
2021,99,Adam Milne,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adam%20Milne.png,16,4,3,1,15,8,17,94.11,0,0,0,1,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,2
2010,43,Adam Voges,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,181,9,7,3,45,45.25,143,126.57,0,0,15,3,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,4
2016,134,Adam Zampa,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adam%20Zampa.png,0,5,1,0,0,1,1,0,0,0,0,0,RPS,https://i.pinimg.com/736x/9b/3c/f1/9b3cf1c503a30be3ec3c3f60562867f7.jpg,0
2017,121,Adam Zampa,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adam%20Zampa.png,5,6,1,0,5,5,7,71.42,0,0,1,0,RPS,https://i.pinimg.com/736x/9b/3c/f1/9b3cf1c503a30be3ec3c3f60562867f7.jpg,1
2023,135,Adam Zampa,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adam%20Zampa.png,10,6,3,0,7,3.33,16,62.5,0,0,0,0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,3.003003003
2023,107,Adil Rashid,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adil%20Rashid.png,22,2,2,0,18,11,16,137.5,0,0,2,1,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg,2
2010,82,Aditya Dole,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,34,3,2,0,30,17,22,154.54,0,0,3,1,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png,2
2010,70,Aditya Tare,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,50,7,4,0,23,12.5,36,138.88,0,0,5,3,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,4
2013,59,Aditya Tare,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,123,5,5,0,59,24.6,84,146.42,0,1,14,5,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg,5
