year,Pos,Player,Image,Wkts,Mat,Inns,Over,Runs,BBI,Average,Economic,Strike_Rate,Four_wkt,Five_wkt,Team,Team_logo
2018.0, 28 ,Jaydev Unadkat,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Shreyas Gopal.png,11.0,15.0,15.0,50.0,486.0,5/25,44.18,9.65,27.45,0.0,0.0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png
2018.0, 29 ,Shreyas Gopal,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Deepak Chahar.png,11.0,11.0,10.0,31.0,236.0,4/16,21.45,7.61,16.9,1.0,0.0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png
2018.0, 30 ,Deepak Chahar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Prasidh Krishna.png,10.0,12.0,12.0,38.0,278.0,4/13,27.8,7.28,22.9,0.0,0.0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg
2018.0, 31 ,Prasidh Krishna,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ravichandran Ashwin.png,10.0,7.0,7.0,28.0,260.0,4/30,26.0,9.28,16.8,1.0,0.0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg
2018.0, 32 ,Ravichandran Ashwin,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ben Laughlin.png,10.0,14.0,14.0,50.0,410.0,4/34,41.0,8.09,30.4,0.0,0.0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png
2018.0, 33 ,Ben Laughlin,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Bhuvneshwar Kumar.png,9.0,7.0,7.0,21.0,211.0,2/15,23.44,10.04,14.0,0.0,0.0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png
2018.0, 34 ,Bhuvneshwar Kumar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Chris Woakes.png,9.0,12.0,12.0,46.0,354.0,5/19,39.33,7.66,30.77,0.0,0.0,SRH,https://i.pinimg.com/736x/81/30/26/813026418f3ec75b2a6298fb3e81f0e0.jpg
2018.0, 35 ,Chris Woakes,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ben Stokes.png,8.0,5.0,5.0,18.0,190.0,3/36,23.75,10.36,13.75,0.0,0.0,RCB,https://wallpapers.com/images/hd/rcb-royal-challengers-bangalore-lion-logo-n8z0bqiop2wa2skq.jpg
2018.0, 36 ,Ben Stokes,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal Patel.png,8.0,13.0,12.0,37.0,303.0,3/15,37.87,8.18,27.75,0.0,0.0,RR,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg/250px-This_is_the_logo_for_Rajasthan_Royals%2C_a_cricket_team_playing_in_the_Indian_Premier_League_%28IPL%29.svg.png
2018.0, 37 ,Harshal Patel,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mohit Sharma.png,7.0,5.0,5.0,17.0,167.0,5/27,23.85,9.54,15.0,0.0,0.0,DC,https://mir-s3-cdn-cf.behance.net/projects/404/c4137880005305.Y3JvcCw1OTEsNDYyLDQ1LDE2OA.jpg
2018.0, 38 ,Mohit Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mustafizur Rahman.png,7.0,9.0,9.0,29.0,322.0,4/14,46.0,10.85,25.42,0.0,0.0,PBKS,https://mir-s3-cdn-cf.behance.net/projects/404/614abb172278773.Y3JvcCwxNTAwLDExNzMsMCwxNA.png
2018.0, 39 ,Mustafizur Rahman,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harbhajan Singh.png,7.0,7.0,7.0,27.0,230.0,3/16,32.85,8.36,23.57,0.0,0.0,MI,https://static.vecteezy.com/system/resources/previews/059/494/375/non_2x/mumbai-indians-original-ipl-team-official-logo-premium-design-for-digital-download-free-vector.jpg
2018.0, 40 ,Harbhajan Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Imran Tahir.png,7.0,13.0,12.0,32.0,270.0,5/18,38.57,8.48,27.28,0.0,0.0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg
2018.0, 41 ,Imran Tahir,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Tom Curran.png,6.0,6.0,6.0,20.0,188.0,4/12,31.33,9.09,20.66,0.0,0.0,CSK,https://assets.designhill.com/design-blog/wp-content/uploads/2025/03/1-5.jpg
2018.0, 42 ,Tom Curran,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Rahul Tewatia.png,6.0,5.0,5.0,10.0,118.0,3/29,19.66,11.6,10.16,0.0,0.0,KKR,https://www.mbaskool.com/2015_images/stories/apr-images/ipl-logos01.jpg
